Source,Target,Type,timestamp
87m2dy,1,direct,1522212767.0
87ssy6,1,direct,1522279707.0
87r51d,1,direct,1522265349.0
87qtn3,1,direct,1522261672.0
87qkq1,1,direct,1522258589.0
87sfeu,1,direct,1522276844.0
87vcow,1,direct,1522298296.0
87va87,1,direct,1522297803.0
87ibfd,1,direct,1522185267.0
87gvbd,1,direct,1522169348.0
87ywvr,1,direct,1522331568.0
87uzqp,1,direct,1522295719.0
87s14s,1,direct,1522273757.0
87t1tu,1,direct,1522281606.0
87pi9j,1,direct,1522244721.0
87ov33,1,direct,1522237393.0
87ruzt,1,direct,1522272231.0
87uplv,1,direct,1522293596.0
87jt9r,1,direct,1522196988.0
87quoo,1,direct,1522262012.0
87ul6h,1,direct,1522292651.0
87x7s5,1,direct,1522314018.0
87kilc,1,direct,1522201944.0
87dq6s,1,direct,1522135526.0
87qld4,1,direct,1522258849.0
87u3dw,1,direct,1522289139.0
87liqy,1,direct,1522208915.0
87oyf9,1,direct,1522238390.0
87tyy8,1,direct,1522288247.0
87to5t,1,direct,1522286030.0
87tnzq,1,direct,1522286000.0
87oent,1,direct,1522232848.0
87r0t8,1,direct,1522263979.0
87tfig,1,direct,1522284310.0
87q3na,1,direct,1522252168.0
87v6wr,1,direct,1522297129.0
87jin5,1,direct,1522194916.0
87rkan,1,direct,1522269575.0
87iljc,1,direct,1522187796.0
87t55d,1,direct,1522282261.0
87rgwb,1,direct,1522268693.0
87t4v6,1,direct,1522282210.0
87uvq9,1,direct,1522294868.0
87t0dt,1,direct,1522281286.0
87or3a,1,direct,1522236235.0
87uuho,1,direct,1522294618.0
87sycr,1,direct,1522280857.0
87uoa6,1,direct,1522293311.0
87sqin,1,direct,1522279185.0
87sgk9,1,direct,1522277095.0
87lnwt,1,direct,1522209949.0
87u8gj,1,direct,1522290134.0
87h1xd,1,direct,1522171811.0
87sbfp,1,direct,1522276001.0
87s8hc,1,direct,1522275357.0
87s6vi,1,direct,1522275023.0
87s5fp,1,direct,1522274713.0
87hgww,1,direct,1522176912.0
87or1l,1,direct,1522236222.0
87ux6p,1,direct,1522295173.0
87glu2,1,direct,1522165712.0
87rwu1,1,direct,1522272693.0
87ikfd,1,direct,1522187522.0
87iu7s,1,direct,1522189702.0
87ti8e,1,direct,1522284837.0
87rlct,1,direct,1522269843.0
87uan6,1,direct,1522290576.0
87kwbc,1,direct,1522204605.0
87rgyf,1,direct,1522268710.0
87t4h5,1,direct,1522282134.0
87pod0,1,direct,1522246769.0
87p7id,1,direct,1522241122.0
87o1x9,1,direct,1522229618.0
87u148,1,direct,1522288692.0
87kyel,1,direct,1522205043.0
87imcg,1,direct,1522187995.0
87sw3g,1,direct,1522280379.0
87ulbc,1,direct,1522292677.0
87vk2p,1,direct,1522299826.0
87izhc,1,direct,1522190835.0
87lkhq,1,direct,1522209251.0
87qvar,1,direct,1522262236.0
87qts9,1,direct,1522261716.0
87s64m,1,direct,1522274876.0
87qo9j,1,direct,1522259956.0
87sna4,1,direct,1522278466.0
87qds3,1,direct,1522255945.0
87j2k6,1,direct,1522191508.0
87p8hh,1,direct,1522241446.0
87inyz,1,direct,1522188359.0
87hntk,1,direct,1522179115.0
87joj1,1,direct,1522196064.0
87q28t,1,direct,1522251617.0
87kn3x,1,direct,1522202804.0
87m3ta,1,direct,1522213048.0
87pyfs,1,direct,1522250196.0
87h1qq,1,direct,1522171746.0
87h6qn,1,direct,1522173612.0
87nr38,1,direct,1522226841.0
87ji21,1,direct,1522194787.0
87gyw7,1,direct,1522170649.0
87kv94,1,direct,1522204385.0
87pob5,1,direct,1522246752.0
87oc7z,1,direct,1522232230.0
87jbyx,1,direct,1522193514.0
dwkn70i,88hk5b,direct,1522517153.0
dwkzoc1,dwkn70i,direct,1522539054.0
dwkv5cz,dwkn70i,direct,1522533335.0
dwkt9hj,dwkn70i,direct,1522530552.0
dwku3nt,dwkt9hj,direct,1522531809.0
dwkzqjg,dwkt9hj,direct,1522539128.0
dwknke2,88hk5b,direct,1522518179.0
dwkwh3r,dwknke2,direct,1522535096.0
dwkxfzt,dwkwh3r,direct,1522536350.0
dwkqun7,88hk5b,direct,1522526282.0
dwkttqd,88hk5b,direct,1522531402.0
dwkzutf,88hk5b,direct,1522539266.0
dwkn3n1,88hk5b,direct,1522516891.0
dwkn2tj,88hk5b,direct,1522516831.0
dwkwnsp,dwkn2tj,direct,1522535342.0
dwkoyw7,88hk5b,direct,1522521901.0
dwkq8yu,88hk5b,direct,1522525005.0
dwksr9p,88hk5b,direct,1522529731.0
dwkwura,88hk5b,direct,1522535591.0
dwkr9ek,88hk5b,direct,1522527081.0
dwkwey8,88hk5b,direct,1522535020.0
dwkybhh,dwkwey8,direct,1522537415.0
dwkyqqs,dwkwey8,direct,1522537937.0
dwl4oyt,dwkyqqs,direct,1522544699.0
dwkws18,dwkwey8,direct,1522535493.0
dwkucj4,88hk5b,direct,1522532169.0
dwkuref,88hk5b,direct,1522532780.0
dwkvcx1,88hk5b,direct,1522533631.0
dwkwufy,88hk5b,direct,1522535580.0
dwkwx51,88hk5b,direct,1522535678.0
dwkz6mn,88hk5b,direct,1522538471.0
dwl1tti,88hk5b,direct,1522541514.0
dwl3c3d,88hk5b,direct,1522543219.0
dwl4mr1,88hk5b,direct,1522544630.0
dwktm99,88hk5b,direct,1522531086.0
dwl353g,88jatb,direct,1522543005.0
dwl2hy3,88jatb,direct,1522542282.0
dwl4dt8,88jatb,direct,1522544363.0
dwl2g1a,88jatb,direct,1522542221.0
dwl3p84,88jatb,direct,1522543609.0
dwkzfl8,88jatb,direct,1522538770.0
dwl0icz,dwkzfl8,direct,1522540022.0
dwl1b3y,dwl0icz,direct,1522540922.0
dwkmyvn,88ftj6,direct,1522516529.0
dwkyqqf,dwkmyvn,direct,1522537936.0
dwkzxr4,dwkyqqf,direct,1522539361.0
dwl2cc7,88ftj6,direct,1522542107.0
dwl0uk1,88ji18,direct,1522540404.0
dwl2cgi,88ji18,direct,1522542110.0
dwl2ghv,88ji18,direct,1522542236.0
dwl2b2b,88ji18,direct,1522542066.0
dwl30jy,dwl2b2b,direct,1522542866.0
dwl4meb,dwl30jy,direct,1522544619.0
dwl5v82,dwl4meb,direct,1522546001.0
dwjc460,88bjby,direct,1522456187.0
dwjt0sb,dwjc460,direct,1522472759.0
dwjdif1,dwjc460,direct,1522457502.0
dwjedez,dwjdif1,direct,1522458299.0
dwjz0pd,dwjdif1,direct,1522479557.0
dwkkxm1,dwjc460,direct,1522511340.0
dwjtq2t,dwjc460,direct,1522473512.0
